t,ytd_old,ytd_new,basis,p_old,p_new,s1g,s2g,s1u,s2u,ytd_uni_old
000660.KS,60.64,118.87,prior_year_close,8,12,39,43,29,43,110.47
005930.KS,39.26,93.27,prior_year_close,12,12,64,64,60,64,80.34
A,14.97,7.92,prior_year_close,6,6,80,80,80,80,6.45
AAPL,14.2,15.47,prior_year_close,6,6,57,57,57,57,15.83
ABBV,11.91,10.23,prior_year_close,6,6,57,57,57,57,9.83
ABNB,46.79,31.2,prior_year_close,12,12,84,84,84,84,33.88
ABT,-1.63,-12.35,prior_year_close,-4,-10,62,56,56,56,-11.58
ACGL,2.52,2.67,prior_year_close,2,2,48,48,48,48,4.92
ACN,-24.25,-33.16,prior_year_close,-10,-10,59,59,59,59,-31.01
ADBE,-0.63,-24.22,prior_year_close,-4,-10,65,59,59,59,-20.43
ADI,21.44,44.62,prior_year_close,12,12,72,72,72,72,43.28
ADM,15.33,35.11,prior_year_close,6,12,45,51,51,51,31.54
ADP,21.63,7.16,prior_year_close,12,6,81,75,75,75,9.0
ADSK,2.7,-15.85,prior_year_close,2,-10,76,64,64,64,-13.13
AEE,5.84,10.51,prior_year_close,6,6,45,45,45,45,9.41
AEP,5.4,10.7,prior_year_close,6,6,42,42,42,42,10.22
AES,-6.04,6.48,prior_year_close,-4,6,70,80,76,80,3.03
AFL,11.24,14.19,prior_year_close,6,6,52,52,52,52,14.22
AGX,61.7,91.2,prior_year_close,8,12,65,69,65,69,83.78
AIG,6.5,-6.75,prior_year_close,6,-4,52,42,42,42,-5.34
AIZ,23.97,21.12,prior_year_close,12,12,81,81,81,81,22.72
AJG,14.65,-3.51,prior_year_close,6,-4,52,42,42,42,-2.46
AKAM,16.7,26.69,prior_year_close,6,12,53,59,59,59,29.89
ALAB,78.06,100.87,prior_year_close,8,12,68,72,68,72,86.1
ALB,-20.51,-6.84,prior_year_close,-10,-4,50,56,56,56,-8.45
ALGN,-9.79,11.21,prior_year_close,-4,6,27,37,37,37,11.3
ALL,34.92,29.6,prior_year_close,12,12,66,66,66,66,32.35
ALLE,-4.31,6.95,prior_year_close,-4,6,60,70,70,70,5.82
AMAT,63.5,110.31,prior_year_close,8,12,68,72,58,72,101.02
AMCR,1.83,18.22,prior_year_close,2,6,76,80,80,80,17.23
AMD,123.78,125.7,prior_year_close,-2,12,29,43,29,43,116.3
AME,9.01,23.93,prior_year_close,6,12,80,86,86,86,21.66
